intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,89.899,86.57251138225689,93.22479996572818,1.567,57.367,15.76,1.0006208482485235e-19,NA,NA
foot_syls2,90.089,86.77735084412483,93.3998382682705,1.557,57.863,15.39,1.9997537257398465e-19,NA,NA
foot_syls3,92.654,89.29387282710944,96.01354691634167,1.59,58.265,16.69,1.0121539140801138e-20,NA,NA
foot_syls4,93.658,90.18243247987468,97.13283551615976,1.666,56.201,20.09,1.4317251418052602e-23,NA,NA
pre_syls0,89.899,86.57251138225689,93.22479996572818,1.567,57.367,15.76,1.0006208482485235e-19,NA,NA
pre_syls1,91.853,88.43251348454068,95.27315753653083,1.631,56.334,18.39,4.6687729229821525e-22,NA,NA
pre_syls2,92.302,88.82636434758913,95.77766637968782,1.667,55.378,20.11,1.853713788593933e-23,NA,NA
pre_syls3,93.167,89.64437455677894,96.68988609049113,1.696,54.918,21.53,1.2358030239236612e-24,NA,NA
