intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
ana_syls0,111.86914189202622,2.658007687341886,4708.302751439184,213.4544092656279,2.4723014152456058,0.013424627535140529,NA,NA
ana_syls1,56.69745397635984,1.8116516030922984,1774.4036888298251,99.61261502748411,2.2981925677823685,0.021550831523846833,NA,NA
ana_syls2,279.3401198643287,5.915804259012841,13190.244157746767,549.3983780450206,2.863793859036771,0.004186003338727525,NA,NA
ana_syls3,292.43920490610225,5.946916998219057,14380.676338971001,581.2162719499265,2.8570172301999013,0.004276426232518356,NA,NA
foot_syls1,111.86914189202622,2.658007687341886,4708.302751439184,213.4544092656279,2.4723014152456058,0.013424627535140529,NA,NA
foot_syls2,319.20016588543496,5.190912848922783,19628.29060449996,670.8063965283807,2.7436383948741385,0.006076242960472985,NA,NA
foot_syls3,1137.5989628627876,17.969707754632527,72017.38714826157,2407.5679725200066,3.3248965100910617,8.845136075572431e-4,NA,NA
foot_syls4,1235.8635010589724,17.391367211216917,87822.80166361158,2688.400101436933,3.2728615542598276,0.001064646116807641,NA,NA
wrd_end_syl1,111.86914189202622,2.658007687341886,4708.302751439184,213.4544092656279,2.4723014152456058,0.013424627535140529,NA,NA
wrd_end_syl2,1569.3447789271518,30.236034052256755,81453.90466518833,3162.2710861172454,3.6517703417928318,2.6043874173231846e-4,NA,NA
wrd_end_syl3,1811.5756410885926,25.285289010292356,129791.13278276914,3948.3180151595348,3.4420616405865414,5.77298685335207e-4,NA,NA
