term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,140.58,46.86,3,9.951,11.779,0.001,0.002,_p_ < .05
gender,35.177,35.177,1,9.073,8.842,0.015,0.019,_p_ < .05
