term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,1652.47,550.823,3,617.487,140.396,2.4e-69,8.2e-68,_p_ < .05
gender,2.54,2.54,1,9.013,0.647,0.442,0.485,
