term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,72.719,24.24,3,10.04,20.564,1.3e-04,3.3e-04,_p_ < .05
gender,1.09,1.09,1,9.066,0.925,0.361,0.421,
