term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,17393.146,5797.715,3,610.006,18.433,1.9e-11,7.2e-11,_p_ < .05
acc_phon,4402.666,1467.555,3,613.172,4.666,0.003,0.004,_p_ < .05
gender,11085.611,11085.611,1,9.025,35.245,2.2e-04,4.2e-04,_p_ < .05
