term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,592.569,197.523,3,613.349,98.747,3.7e-52,6.3e-51,_p_ < .05
gender,0.066,0.066,1,8.997,0.033,0.859,0.859,
