term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,11603.625,3867.875,3,612.122,5.654,8.0e-04,0.001,_p_ < .05
acc_phon,24141.591,8047.197,3,613.558,11.763,1.7e-07,4.8e-07,_p_ < .05
gender,9085.262,9085.262,1,9.019,13.28,0.005,0.007,_p_ < .05
