term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,53.836,17.945,3,11.796,14.109,3.3e-04,5.9e-04,_p_ < .05
h_start,1.468,1.468,1,270.297,1.154,0.284,0.345,
acc_phon,44.304,8.861,5,350.173,6.966,3.2e-06,9.1e-06,_p_ < .05
fin_phon,11.822,11.822,1,220.42,9.295,0.003,0.004,_p_ < .05
gender,0.225,0.225,1,10.048,0.177,0.683,0.726,
