term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,352.008,117.336,3,614.61,37.847,1.9e-22,8.9e-22,_p_ < .05
acc_phon,524.017,174.672,3,617.383,56.341,3.4e-32,2.4e-31,_p_ < .05
gender,0.453,0.453,1,9.076,0.146,0.711,0.737,
