term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,102.326,34.109,3,10.079,10.525,0.002,0.003,_p_ < .05
h_start,61.893,61.893,1,416.141,19.099,1.6e-05,4.1e-05,_p_ < .05
acc_phon,692.055,138.411,5,460.072,42.711,3.9e-36,4.4e-35,_p_ < .05
fin_phon,54.088,54.088,1,408.629,16.69,5.3e-05,1.3e-04,_p_ < .05
gender,105.03,105.03,1,9.916,32.41,2.1e-04,4.1e-04,_p_ < .05
