term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,127.801,42.6,3,608.102,27.674,8.7e-17,3.5e-16,_p_ < .05
acc_phon,264.953,88.318,3,612.229,57.372,1.1e-32,1.0e-31,_p_ < .05
gender,1.827,1.827,1,9.107,1.187,0.304,0.37,
