term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,382719.917,191359.959,2,381.454,147.396,3.7e-48,6.7e-47,_p_ < .05
ana_syls,77283.141,25761.047,3,14.148,19.843,2.5e-05,8.8e-05,_p_ < .05
foot_syls,48695.674,16231.891,3,28.445,12.503,2.2e-05,8.8e-05,_p_ < .05
wrd_end_syl,1886.822,943.411,2,87.345,0.727,0.486,0.547,
pn_new_word,1056.025,1056.025,1,5.762,0.813,0.403,0.498,
gender,4673.948,4673.948,1,10.262,3.6,0.086,0.147,
