intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,93.209,5.872,81.7,104.718,15.874,10.8,7.8611e-09,6.29e-08,p<0.001
modeMWH,93.682,5.865,82.187,105.178,15.972,10.79,7.5207e-09,6.02e-08,p<0.001
modeMYN,93.569,5.892,82.021,105.118,15.88,10.88,7.1524e-09,5.72e-08,p<0.001
modeMDQ,80.763,6.088,68.831,92.695,13.266,12.49,9.9644e-09,7.97e-08,p<0.001
acc_phonL*H,93.209,5.872,81.7,104.718,15.874,10.8,7.8611e-09,6.29e-08,p<0.001
acc_phon^[L*]H,82.204,12.369,57.96,106.448,6.646,0,0.9834,0.9999,
acc_phonL*^[H],80.21,8.416,63.714,96.706,9.53,9.66,3.1949e-06,2.56e-05,p<0.001
acc_phon^[L*H],73.987,7.55,59.189,88.784,9.8,10.26,1.5688e-06,1.26e-05,p<0.001
