intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,86.571,1.195,84.227,88.914,72.417,9.37,3.3953e-14,2.72e-13,p<0.001
modeMWH,86.583,1.196,84.239,88.926,72.417,9.37,3.3590e-14,2.69e-13,p<0.001
modeMYN,87.475,1.195,85.132,89.818,73.177,9.37,3.0428e-14,2.43e-13,p<0.001
modeMDQ,87.362,1.201,85.009,89.715,72.762,9.53,2.0929e-14,1.67e-13,p<0.001
acc_phonL*H,86.571,1.195,84.227,88.914,72.417,9.37,3.3953e-14,2.72e-13,p<0.001
acc_phon^[L*]H,90.054,1.479,87.155,92.953,60.888,0,0.9995,0.9999,
acc_phonL*^[H],87.692,1.283,85.176,90.207,68.335,9.53,3.7679e-14,3.01e-13,p<0.001
acc_phon^[L*H],90.046,1.436,87.232,92.86,62.725,12.01,1.7294e-16,1.38e-15,p<0.001
