intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,33.508,5.207,23.302,43.714,6.435,3.37,0.0053,0.0422,p<0.05
modeMWH,35.303,5.207,25.098,45.508,6.78,3.37,0.0045,0.0358,p<0.05
modeMYN,34.545,5.217,24.32,44.769,6.622,3.4,0.0047,0.0376,p<0.05
modeMDQ,41.358,5.261,31.046,51.67,7.861,3.52,0.0024,0.0189,p<0.05
acc_phonL*H,33.508,5.207,23.302,43.714,6.435,3.37,0.0053,0.0422,p<0.05
acc_phon^[L*]H,20.415,6.092,8.475,32.355,3.351,0,1,0.9999,
acc_phonL*^[H],50.213,5.179,40.064,60.363,9.696,3.32,0.0015,0.0121,p<0.05
acc_phon^[L*H],37.67,4.969,27.932,47.409,7.581,2.83,0.0058,0.0463,p<0.05
