intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,92.525,1.307,89.963,95.086,70.806,9.27,5.4620e-14,4.37e-13,p<0.001
modeMWH,92.91,1.307,90.349,95.471,71.098,9.27,5.2182e-14,4.17e-13,p<0.001
modeMYN,93.684,1.308,91.12,96.249,71.611,9.31,4.3660e-14,3.49e-13,p<0.001
modeMDQ,94.088,1.323,91.495,96.682,71.1,9.75,1.4270e-14,1.14e-13,p<0.001
acc_phonL*H,92.525,1.307,89.963,95.086,70.806,9.27,5.4620e-14,4.37e-13,p<0.001
acc_phon^[L*]H,93.177,1.865,89.523,96.832,49.969,0,0.9987,0.9999,
acc_phonL*^[H],97.78,1.654,94.538,101.022,59.112,9.52,1.5425e-13,1.23e-12,p<0.001
acc_phon^[L*H],97.602,1.477,94.709,100.496,66.104,11.53,3.1097e-16,2.49e-15,p<0.001
