intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,317.997,26.126,266.791,369.203,12.172,2.94,0.0013,0.0106,p<0.05
modeMWH,317.628,26.127,266.421,368.835,12.157,2.94,0.0013,0.0106,p<0.05
modeMYN,317.419,26.137,266.192,368.645,12.145,2.94,0.0013,0.0106,p<0.05
modeMDQ,303.854,26.241,252.422,355.286,11.579,2.99,0.0014,0.0113,p<0.05
acc_phonL*H,317.997,26.126,266.791,369.203,12.172,2.94,0.0013,0.0106,p<0.05
acc_phon^[L*]H,245.026,28.948,188.289,301.762,8.464,4.42,6.7741e-04,0.0054,p<0.01
acc_phonL*^[H],313.26,26.755,260.821,365.699,11.708,3.23,9.3866e-04,0.0075,p<0.01
acc_phon^[L*H],309.235,26.448,257.398,361.072,11.692,3.08,0.0012,0.0094,p<0.01
