intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,3.9125280451423516,0.6857924416775429,22.321441260828504,3.4761533775130125,1.5354348611665585,0.12467704605658304,NA,NA
ana_syls0,ana_syls2,0.07545320226648225,0.0034254914249612343,1.6620055419730346,0.11904376856763435,-1.6379638002566548,0.10142924544956988,NA,NA
ana_syls0,ana_syls3,0.07220120377684881,0.003265605716390221,1.5963390193316043,0.11405094977351107,-1.6638732103819587,0.0961377696737164,NA,NA
ana_syls1,ana_syls2,0.03716087759969238,0.0020408944290484115,0.6766302089536262,0.0550193658009726,-2.2238014053799366,0.026161808813260738,NA,NA
ana_syls1,ana_syls3,0.03507047650693659,0.0019354713167775363,0.6354722551359621,0.05183742107520752,-2.266701712970526,0.02340845371077404,NA,NA
ana_syls2,ana_syls3,0.25830629696276414,0.25808452550212213,0.2585282589911306,1.1319938477114736e-4,-3088.7604280923183,0,NA,NA
foot_syls1,foot_syls2,1.4117470337047204,0.41004659939231725,4.86049558788615,0.8905063713352211,0.5466663431354213,0.5846079810652229,NA,NA
foot_syls1,foot_syls3,0.3894226217098443,0.11006537319762896,1.377817327045009,0.25106114433065846,-1.4628333583134367,0.14351298279047475,NA,NA
foot_syls1,foot_syls4,0.35509929765031767,0.05816585679238048,2.1678613218376412,0.3277661045733628,-1.1216987616408765,0.2619905432676193,NA,NA
foot_syls2,foot_syls3,0.32480754014280405,0.32436183425034565,0.3252538584801361,2.2756131145746403e-4,-1605.0767615412797,0,NA,NA
foot_syls2,foot_syls4,0.4222268452036168,0.4216658285662503,0.4227886082606504,2.864285702301368e-4,-1270.9950318275064,0,NA,NA
foot_syls3,foot_syls4,1.653919563817182,0.3474659521258245,7.872569691624507,1.3166087719278197,0.6320528004078468,0.5273523758591863,NA,NA
wrd_end_syl1,wrd_end_syl2,0.0840063659400912,0.023962340184272436,0.2945066910907303,0.05376545398559669,-3.869998647236748,1.0883595717498181e-4,NA,NA
wrd_end_syl1,wrd_end_syl3,0.0547912952660579,0.0032225509649239734,0.9315868296913544,0.07920725051407007,-2.0089851693553333,0.04453870656892863,NA,NA
wrd_end_syl2,wrd_end_syl3,0.2616180478357084,0.00950185126049382,7.203228200165486,0.44254292940915957,-0.7926817548514788,0.42796326295376225,NA,NA
intercept,speech_rate,1.164,0.7298902412012875,1.8548016989235918,0.277,0.637,0.5243939082861704,NA,NA
intercept,genderM,11.394,1.836394484893507,70.6938056031745,10.611,2.613,0.008985168332977434,NA,NA
