speaker,mean_f0,SD_f0
F5,90.676,2.115
F6,91.719,2.022
F12,88.235,2.213
F15,87.711,2.079
F16,91.377,1.654
F17,89.565,1.806
M4,77.002,2.541
M5,82.185,3.067
M8,83.355,2.596
M9,85.331,2.421
M10,83.049,2.133
