code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_strt_t,foot_end_t,stress_end_t,wrd_fin_syl_strt_t,wrd_end_t,v_onset_t,v_offset_t,strt_t,end_t,l_t,h_t,l_syl_strt_t,l_syl_end_t,h_syl_strt_t,h_syl_end_t,v_sylNormT,l_sylNormT,h_sylNormT,v_syl,l_syl,h_syl,v_syl_ratio,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,intercept_st,mean_st,med_st,location
F12_A1422_5,F12,F,A1422,5,The VALLey's by the RIVer,142,A1422_142,7,1,2,1,4,2,L*H,%L L*H L*H L%,%L,L%,V1,1305,82,82,863,362,362,573,184,299,42,1260,246,424,82,362,362,573,146,197,336,2,2,3,0.36,0.59,0.29,87.52,79.34,88.63,84.29,84.29,13.471,81.614,88.67,88.72,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A1422_5,F12,F,A1422,5,The VALLey's by the RIVer,142,A1422_142,7,1,2,2,2,2,L*H,%L L*H L*H L%,%L,L%,V2,1305,82,863,1305,1103,1103,1305,930,1017,42,1260,1023,1119,863,1103,1103,1305,753,829,907,6,6,7,0.28,0.67,0.08,87.52,79.34,84.29,84.29,84.29,50.222,25.489,88.73,89.01,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_1,F12,F,A2422,1,There's a VALLey with a RIVer,242,A2422_242,8,2,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1213,208,208,833,472,472,568,304,418,5,1213,375,559,208,472,472,568,292,358,535,3,3,4,0.36,0.63,0.91,89.29,89.51,88.41,85.78,85.78,27.695,69.26,88.77,88.86,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_1,F12,F,A2422,1,There's a VALLey with a RIVer,242,A2422_242,8,2,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1213,208,833,1213,1072,1072,1213,907,972,5,1213,973,1145,833,1072,1072,1213,843,900,1069,7,7,8,0.31,0.59,0.52,89.29,89.51,85.78,85.78,85.78,29.796,50.13,88.73,88.78,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_2,F12,F,A2422,2,There's a VALLey with a RIVer,242,A2422_242,8,2,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1223,209,209,852,466,466,572,300,409,6,1223,373,541,209,466,466,572,290,359,516,3,3,4,0.35,0.64,0.71,88.07,89.77,87.99,86.18,86.18,25.965,71.555,88.28,88.14,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_2,F12,F,A2422,2,There's a VALLey with a RIVer,242,A2422_242,8,2,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1223,209,852,1223,1092,1092,1223,923,1000,6,1223,991,1168,852,1092,1092,1223,840,898,1079,7,7,8,0.30,0.58,0.58,88.07,89.77,86.18,86.18,86.18,32.547,47.158,88.30,88.31,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_3,F12,F,A2422,3,There's a VALLey with a RIVer,242,A2422_242,8,2,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1282,227,227,882,501,501,606,326,451,14,1269,426,578,227,501,501,606,292,381,518,3,3,4,0.36,0.73,0.73,88.23,89.51,87.90,86.14,86.14,27.868,65.789,87.94,87.96,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_3,F12,F,A2422,3,There's a VALLey with a RIVer,242,A2422_242,8,2,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1282,227,882,1282,1108,1108,1282,958,1015,14,1269,1011,1204,882,1108,1108,1282,848,897,1074,7,7,8,0.34,0.57,0.55,88.23,89.51,86.14,86.14,86.14,27.278,50.541,88.79,88.93,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_4,F12,F,A2422,4,There's a VALLey with a RIVer,242,A2422_242,8,2,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1242,205,205,852,464,464,572,298,415,16,1229,398,541,205,464,464,572,291,386,516,3,3,4,0.36,0.75,0.71,88.35,89.98,88.63,86.62,86.62,22.993,74.084,88.19,88.10,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_4,F12,F,A2422,4,There's a VALLey with a RIVer,242,A2422_242,8,2,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1242,205,852,1242,1081,1081,1242,920,982,16,1229,980,1163,852,1081,1081,1242,840,894,1068,7,7,8,0.30,0.56,0.51,88.35,89.98,86.62,86.62,86.62,27.978,54.485,88.44,88.50,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_5,F12,F,A2422,5,There's a VALLey with a RIVer,242,A2422_242,8,2,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1209,189,189,836,455,455,559,286,402,4,1209,359,536,189,455,455,559,292,360,523,3,3,4,0.36,0.64,0.78,87.71,89.98,87.83,86.54,86.54,24.01,72.19,87.90,87.74,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A2422_5,F12,F,A2422,5,There's a VALLey with a RIVer,242,A2422_242,8,2,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1209,189,836,1209,1058,1058,1209,896,963,4,1209,959,1147,836,1058,1058,1209,835,893,1080,7,7,8,0.27,0.55,0.59,87.71,89.98,86.54,86.54,86.54,27.169,55.307,89.64,89.77,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_1,F12,F,A3422,1,There was a VALLey with a RIVer,342,A3422_342,9,3,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1368,298,298,967,574,574,671,392,507,21,1332,502,656,298,574,574,671,381,482,628,4,4,5,0.34,0.74,0.85,88.57,89.39,87.23,86.80,86.80,26.672,68.18,87.06,86.99,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_1,F12,F,A3422,1,There was a VALLey with a RIVer,342,A3422_342,9,3,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1368,298,967,1368,1179,1179,1368,1018,1097,21,1332,1093,1273,967,1179,1179,1368,933,1005,1170,8,8,9,0.24,0.59,0.50,88.57,89.39,86.80,86.80,86.80,21.774,59.792,88.43,88.27,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_2,F12,F,A3422,2,There was a VALLey with a RIVer,342,A3422_342,9,3,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1385,326,326,984,593,593,697,412,526,27,1356,499,686,326,593,593,697,376,459,633,4,4,5,0.32,0.65,0.89,87.91,89.17,86.44,85.64,85.64,29.777,64.856,86.96,86.76,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_2,F12,F,A3422,2,There was a VALLey with a RIVer,342,A3422_342,9,3,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1385,326,984,1385,1212,1212,1385,1057,1121,27,1356,1115,1286,984,1212,1212,1385,949,1001,1158,8,8,9,0.32,0.57,0.43,87.91,89.17,85.64,85.64,85.64,29.903,47.734,88.01,88.04,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_3,F12,F,A3422,3,There was a VALLey with a RIVer,342,A3422_342,9,3,2,1,4,3,L*H,% L*H L*H %,%,%,V1,1397,328,328,990,600,712,714,416,519,37,1386,506,696,328,600,600,712,376,461,630,4,4,5,0.32,0.65,0.86,87.15,89.30,86.49,85.85,85.85,25.11,67.783,86.73,86.56,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_3,F12,F,A3422,3,There was a VALLey with a RIVer,342,A3422_342,9,3,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1397,328,990,1397,1228,1228,1397,1068,1118,37,1386,1129,1312,990,1228,1228,1397,951,1003,1170,8,8,9,0.33,0.58,0.50,87.15,89.30,85.85,85.85,85.85,27.414,50.395,88.14,88.08,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_4,F12,F,A3422,4,There was a VALLey with a RIVer,342,A3422_342,9,3,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1410,329,329,1011,601,601,720,428,536,14,1378,514,705,329,601,601,720,387,467,631,4,4,5,0.36,0.68,0.87,87.00,89.25,85.67,85.39,85.39,24.521,69.057,86.06,85.90,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_4,F12,F,A3422,4,There was a VALLey with a RIVer,342,A3422_342,9,3,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1410,329,1011,1410,1227,1227,1410,1079,1130,14,1378,1119,1318,1011,1227,1227,1410,948,985,1170,8,8,9,0.31,0.50,0.50,87.00,89.25,85.39,85.39,85.39,32.608,44.937,87.60,87.73,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_6,F12,F,A3422,6,There  was a VALLey with a RIVer,342,A3422_342,9,3,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1469,395,395,1063,674,674,770,480,602,63,1454,571,755,395,674,674,770,372,455,628,4,4,5,0.30,0.63,0.84,87.02,89.00,86.29,86.17,86.17,21.818,69.42,86.04,85.78,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_A3422_6,F12,F,A3422,6,There  was a VALLey with a RIVer,342,A3422_342,9,3,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1469,395,1063,1469,1285,1285,1469,1126,1192,63,1454,1173,1392,1063,1285,1285,1469,942,985,1184,8,8,9,0.28,0.50,0.58,87.02,89.00,86.17,86.17,86.17,17.335,63.954,87.95,88.00,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_1,F12,F,H0322,1,LALLy's is VALid,032,H0322_032,5,0,2,1,3,2,L*H,% L*H L*H %,%,%,V1,1110,0,0,605,277,277,459,92,195,19,966,205,472,0,277,459,605,72,161,405,1,1,3,0.33,0.74,0.09,87.89,89.81,88.05,87.13,87.13,15.032,73.846,88.68,88.97,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_1,F12,F,H0322,1,LALLy's is VALid,032,H0322_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1110,0,605,1110,862,862,1110,679,802,19,966,774,937,605,862,862,1110,584,674,816,4,4,5,0.29,0.66,0.30,87.89,89.81,87.13,87.13,87.13,29.363,43.387,87.56,87.35,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_2,F12,F,H0322,2,LALLy's is VALid,032,H0322_032,5,0,2,1,3,2,L*H,% L*H L*H %,%,%,V1,1127,0,0,637,259,259,485,84,185,20,977,179,508,0,259,485,637,71,151,412,1,1,3,0.32,0.69,0.15,87.10,89.85,87.70,87.28,87.28,10.776,80.473,88.94,89.20,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_2,F12,F,H0322,2,LALLy's is VALid,032,H0322_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1127,0,637,1127,870,870,1127,695,811,20,977,787,949,637,870,870,1127,574,670,817,4,4,5,0.25,0.64,0.31,87.10,89.85,87.28,87.28,87.28,32,45.798,87.77,87.77,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_3,F12,F,H0322,3,LALLy's is VALid,032,H0322_032,5,0,2,1,3,2,L*H,% L*H L*H %,%,%,V1,1132,0,0,642,288,288,525,112,219,21,996,219,544,0,288,525,642,85,166,413,1,1,3,0.39,0.76,0.16,87.72,89.45,87.48,87.37,87.37,9.909,81.66,89.17,89.78,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_3,F12,F,H0322,3,LALLy's is VALid,032,H0322_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1132,0,642,1132,888,888,1132,718,825,21,996,814,957,642,888,888,1132,589,684,812,4,4,5,0.31,0.70,0.28,87.72,89.45,87.37,87.37,87.37,29.727,50.448,88.04,88.12,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_4,F12,F,H0322,4,LALLy's is VALid,032,H0322_032,5,0,2,1,3,2,L*H,% L*H L*H %,%,%,V1,1101,0,0,583,264,264,456,88,179,9,938,186,471,0,264,456,583,73,154,408,1,1,3,0.33,0.70,0.12,88.17,89.82,87.53,87.58,87.58,9.604,81.631,88.96,89.46,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_4,F12,F,H0322,4,LALLy's is VALid,032,H0322_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1101,0,583,1101,819,819,1101,646,764,9,938,753,900,583,819,819,1101,579,689,813,4,4,5,0.27,0.72,0.29,88.17,89.82,87.58,87.58,87.58,32.708,46.838,88.09,88.20,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_5,F12,F,H0322,5,LALLy's is VALid,032,H0322_032,5,0,2,1,3,2,L*H,% L*H L*H %,%,%,V1,1067,0,0,551,224,224,439,66,163,0,910,163,457,0,224,439,551,64,159,413,1,1,3,0.29,0.73,0.16,86.81,90.19,87.63,87.39,87.39,14.536,80.883,89.29,90.19,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0322_5,F12,F,H0322,5,LALLy's is VALid,032,H0322_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1067,0,551,1067,804,804,1067,627,738,0,910,717,870,551,804,804,1067,587,673,806,4,4,5,0.30,0.66,0.25,86.81,90.19,87.39,87.39,87.39,30.189,56.298,88.36,88.43,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_1,F12,F,H0422,1,LALLy's is inVALid,042,H0422_042,6,0,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1206,0,0,705,275,275,461,103,195,21,1043,193,342,0,275,275,461,80,150,277,1,1,2,0.37,0.70,0.36,86.51,89.69,86.97,85.51,85.51,23.944,72.278,87.66,87.55,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_1,F12,F,H0422,1,LALLy's is inVALid,042,H0422_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1206,0,705,1206,935,935,1206,771,868,21,1043,827,1000,705,935,935,1206,704,760,916,5,5,6,0.29,0.53,0.24,86.51,89.69,85.51,85.51,85.51,41.079,33.657,86.55,85.92,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_2,F12,F,H0422,2,LALLy's is inVALid,042,H0422_042,6,0,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1171,0,0,699,222,222,433,67,152,12,1017,155,329,0,222,222,433,65,149,303,1,1,2,0.30,0.70,0.51,87.30,88.31,87.71,84.57,84.57,12.735,83.794,88.00,87.80,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_2,F12,F,H0422,2,LALLy's is inVALid,042,H0422_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1171,0,699,1171,920,920,1171,749,841,12,1017,825,997,699,920,920,1171,690,769,930,5,5,6,0.23,0.57,0.31,87.30,88.31,84.57,84.57,84.57,28.309,57.664,85.91,85.68,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_3,F12,F,H0422,3,LALLy's is inVALid,042,H0422_042,6,0,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1184,0,0,686,228,228,443,66,160,15,1010,181,296,0,228,228,443,62,170,270,1,1,2,0.29,0.79,0.32,86.41,89.31,87.01,84.73,84.73,16.082,82.437,87.64,87.69,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_3,F12,F,H0422,3,LALLy's is inVALid,042,H0422_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1184,0,686,1184,909,909,1184,730,841,15,1010,795,986,686,909,909,1184,683,750,924,5,5,6,0.20,0.49,0.28,86.41,89.31,84.73,84.73,84.73,32.61,54.976,86.77,86.77,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_4,F12,F,H0422,4,LALLy's is inVALid,042,H0422_042,6,0,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1260,0,0,779,268,268,489,91,182,12,1108,189,364,0,268,268,489,73,151,290,1,1,2,0.34,0.71,0.43,86.11,89.73,87.82,85.04,85.04,11.582,82.989,88.30,88.40,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_4,F12,F,H0422,4,LALLy's is inVALid,042,H0422_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1260,0,779,1260,998,998,1260,823,929,12,1108,892,1080,779,998,998,1260,684,757,931,5,5,6,0.20,0.52,0.31,86.11,89.73,85.04,85.04,85.04,30.783,50.328,86.36,86.00,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_5,F12,F,H0422,5,LALLy's is inVALid,042,H0422_042,6,0,2,1,4,2,L*H,% L*H L*H %,%,%,V1,1224,0,0,737,264,264,473,79,186,4,1063,184,345,0,264,264,473,64,149,282,1,1,2,0.30,0.70,0.39,87.48,90.17,87.67,86.13,86.13,14.431,83.316,87.97,87.70,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H0422_5,F12,F,H0422,5,LALLy's is inVALid,042,H0422_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1224,0,737,1224,955,955,1224,774,887,4,1063,850,1025,737,955,955,1224,677,757,920,5,5,6,0.17,0.52,0.26,87.48,90.17,86.13,86.13,86.13,37.66,49.734,87.29,86.96,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_1,F12,F,H1321,1,eLAINE was a NANNy,132,H1321_132,6,1,2,1,3,1,L*H,% L*H L*H %,%,%,V1,987,50,50,546,336,50,336,126,256,48,949,118,361,50,336,336,490,134,127,344,2,2,3,0.27,0.24,0.16,88.35,92.04,89.20,86.78,86.78,16.92,82.596,90.42,89.97,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_1,F12,F,H1321,1,eLAINE was a NANNy,132,H1321_132,6,1,2,2,2,2,L*H,% L*H L*H %,%,%,V2,987,50,546,987,813,813,987,613,757,48,949,703,911,546,813,813,987,573,651,844,5,5,6,0.25,0.59,0.56,88.35,92.04,86.78,86.78,86.78,43.182,44.213,88.78,88.43,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_2,F12,F,H1321,2,eLAINE was a NANNy,132,H1321_132,6,1,2,1,3,1,L*H,%L L*H L*H %,%L,%,V1,1021,44,44,576,362,44,362,119,257,13,996,162,380,44,362,362,518,127,161,337,2,2,3,0.24,0.37,0.12,87.06,91.99,88.95,86.56,86.56,13.551,83.523,89.91,89.77,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_2,F12,F,H1321,2,eLAINE was a NANNy,132,H1321_132,6,1,2,2,2,2,L*H,%L L*H L*H %,%L,%,V2,1021,44,576,1021,843,843,1021,639,779,13,996,733,944,576,843,843,1021,570,651,845,5,5,6,0.24,0.59,0.57,87.06,91.99,86.56,86.56,86.56,41.661,45.837,89.13,88.72,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_3,F12,F,H1321,3,eLAINE was a NANNy,132,H1321_132,6,1,2,1,3,1,L*H,%L L*H L*H %,%L,%,V1,999,58,58,553,357,58,357,133,262,44,968,165,376,58,357,357,491,131,158,341,2,2,3,0.25,0.36,0.14,87.59,91.32,88.81,86.12,86.12,11.208,84.019,90.07,90.09,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_3,F12,F,H1321,3,eLAINE was a NANNy,132,H1321_132,6,1,2,2,2,2,L*H,%L L*H L*H %,%L,%,V2,999,58,553,999,806,806,999,609,749,44,968,677,907,553,806,806,999,566,629,838,5,5,6,0.22,0.49,0.52,87.59,91.32,86.12,86.12,86.12,39.928,46.162,88.52,87.53,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_4,F12,F,H1321,4,eLAINE was a NANNy,132,H1321_132,6,1,2,1,3,1,L*H,%L L*H L*H %,%L,%,V1,974,33,33,545,346,33,346,108,248,16,971,148,365,33,346,346,483,128,160,340,2,2,3,0.24,0.37,0.14,87.30,89.46,88.38,85.97,85.97,9.098,85.792,89.42,89.21,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_4,F12,F,H1321,4,eLAINE was a NANNy,132,H1321_132,6,1,2,2,2,2,L*H,%L L*H L*H %,%L,%,V2,974,33,545,974,799,799,974,601,748,16,971,693,877,545,799,799,974,566,650,824,5,5,6,0.22,0.58,0.45,87.30,89.46,85.97,85.97,85.97,45.4,45.889,87.84,87.15,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_5,F12,F,H1321,5,eLAINE was a NANNy,132,H1321_132,6,1,2,1,3,1,L*H,% L*H L*H %,%,%,V1,1048,58,58,621,415,58,415,149,314,41,1015,185,432,58,415,415,565,132,157,337,2,2,3,0.25,0.36,0.11,88.25,90.63,88.59,86.54,86.54,14.738,82.726,89.92,89.88,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1321_5,F12,F,H1321,5,eLAINE was a NANNy,132,H1321_132,6,1,2,2,2,2,L*H,% L*H L*H %,%,%,V2,1048,58,621,1048,867,867,1048,678,811,41,1015,772,945,621,867,867,1048,569,657,822,5,5,6,0.23,0.61,0.43,88.25,90.63,86.54,86.54,86.54,52.266,34.197,88.33,88.01,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1322_1,F12,F,H1322,1,eLAINa's a NANNy,132,H1322_132,6,1,2,1,3,2,L*H,% L*H L*H %,%,%,V1,979,64,64,526,289,289,463,118,231,23,921,179,343,64,289,289,463,119,176,328,2,2,3,0.24,0.51,0.31,87.56,90.51,90.25,86.09,86.09,30.573,74.251,91.88,91.26,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1322_1,F12,F,H1322,1,eLAINa's a NANNy,132,H1322_132,6,1,2,2,2,2,L*H,% L*H L*H %,%,%,V2,979,64,526,979,775,775,979,574,724,23,921,647,859,526,775,775,979,537,607,802,5,5,6,0.19,0.49,0.41,87.56,90.51,86.09,86.09,86.09,39.691,45.861,88.13,87.34,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
F12_H1322_2,F12,F,H1322,2,eLAINa's a NANNy,132,H1322_132,6,1,2,1,3,2,L*H,%L L*H L*H %,%L,%,V1,1008,55,55,564,314,314,494,140,247,13,957,168,357,55,314,314,494,137,160,317,2,2,3,0.33,0.44,0.24,88.40,90.60,89.37,86.63,86.63,19.919,79.864,90.71,89.84,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/alignment and H_Placement/
