code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_strt_t,foot_end_t,stress_end_t,wrd_fin_syl_strt_t,wrd_end_t,v_onset_t,v_offset_t,strt_t,end_t,l_t,h_t,l_syl_strt_t,l_syl_end_t,h_syl_strt_t,h_syl_end_t,v_sylNormT,l_sylNormT,h_sylNormT,v_syl,l_syl,h_syl,v_syl_ratio,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,intercept_st,mean_st,med_st,location
F5_A0221_s1,F5,F,A0221,s1,VAL'S is VALid,022,A0221_022,4,0,2,2,2,2,L*H,%H >H* L*H %,%H,%,V2,835,0,423,835,664,664,835,495,608,37,741,608,724,423,664,664,835,535,649,774,3,3,4,0.30,0.77,0.35,92.02,92.51,89.75,89.75,89.75,43.895,58.614,89.44,89.17,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s2,F5,F,A0221,s2,VAL'S is VALid,022,A0221_022,4,0,2,1,2,1,(*),% (*) L*H %,%,%,V1,874,0,0,416,322,0.5,322,36,176,36,761,218,130,0,322,0,322,38,227,136,1,1,1,0.11,0.68,0.40,91.90,92.17,91.90,90.51,90.51,-2.615,91.948,91.22,91.20,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s2,F5,F,A0221,s2,VAL'S is VALid,022,A0221_022,4,0,2,2,2,2,L*H,% (*) L*H %,%,%,V2,874,0,416,874,682,682,874,487,615,36,761,638,749,416,682,682,874,528,665,773,3,3,4,0.27,0.83,0.35,91.90,92.17,90.51,90.51,90.51,46.614,52.721,90.09,90.00,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s3,F5,F,A0221,s3,VAL'S is VALid,022,A0221_022,4,0,2,1,2,1,(*),%H (*) L*H %,%H,%,V1,820,0,0,372,284,0.008,284,28,126,29,704,133,173,0,284,0,284,33,157,205,1,1,1,0.10,0.47,0.61,92.46,94.22,92.46,90.52,90.52,-2.242,92.111,91.51,91.51,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s3,F5,F,A0221,s3,VAL'S is VALid,022,A0221_022,4,0,2,2,2,2,L*H,%H (*) L*H %,%H,%,V2,820,0,372,820,617,617,820,429,544,29,704,567,686,372,617,617,820,519,656,772,3,3,4,0.23,0.80,0.34,92.46,94.22,90.52,90.52,90.52,63.382,43.297,90.23,90.05,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s4,F5,F,A0221,s4,VAL'S is VALid,022,A0221_022,4,0,2,1,2,1,L*H,%H L*H L*H %,%H,%,V1,831,0,0,397,282,-0.0008,282,25,142,26,723,216,311,0,282,282,397,30,257,368,1,1,2,0.09,0.77,0.25,92.41,94.31,92.41,92.05,92.05,20.879,84.619,91.43,91.44,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s4,F5,F,A0221,s4,VAL'S is VALid,022,A0221_022,4,0,2,2,2,2,L*H,%H L*H L*H %,%H,%,V2,831,0,397,831,651,651,831,441,585,26,723,575,722,397,651,651,831,505,633,782,3,3,4,0.17,0.70,0.39,92.41,94.31,92.05,92.05,92.05,51.296,53.757,90.23,89.69,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s5,F5,F,A0221,s5,VAL'S is VALid,022,A0221_022,4,0,2,1,2,1,!H*,%H !H* L*H %,%H,%,V1,817,0,0,386,287,0.2,287,48,151,48,719,150,173,0,287,0,287,56,176,203,1,1,1,0.17,0.52,0.60,92.26,92.69,92.26,89.93,89.93,1.868,90.245,90.73,90.73,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s5,F5,F,A0221,s5,VAL'S is VALid,022,A0221_022,4,0,2,2,2,2,L*H,%H !H* L*H %,%H,%,V2,817,0,386,817,645,645,817,456,585,48,719,564,717,386,645,645,817,528,629,787,3,3,4,0.27,0.69,0.42,92.26,92.69,89.93,89.93,89.93,46.884,54.716,89.25,88.69,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s1,F5,F,A0321,s1,VAL'S is inVALid,032,A0321_032,5,0,2,1,3,1,L*H,%H L*H L*H %,%H,%,V1,953,0,0,510,282,-0.1,282,29,156,29,828,179,430,0,282,402,510,35,215,496,1,1,3,0.10,0.63,0.26,92.06,92.89,92.06,90.38,90.38,10.539,79.224,91.30,91.81,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
