code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,ana_text,nuc_pre_text,ana_has_word_end,nuc_is_new_word,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,lh_slope,lh_slope_z,lh_mean_f0,lh_med_f0,utt_mean_f0,utt_slope,utt_slope_z,spkr_f0_mean,spkr_f0_SD,location
F5_A0221_s1,F5,F,A0221,s1,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,1,2,1,>H*,%H >H* L*H %,%H,%,V1,835,0,0,423,284,0.5,284,37,155,37,741,149,308,0,284,284,423,44,176,358,44,793,1,1,2,0.52,0.17,92.02,92.51,92.02,91.78,92.45,4.777,2.259,91.94,91.82,90.75,-5.039,-2.383,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s1,F5,F,A0221,s1,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,2,2,2,L*H,%H >H* L*H %,%H,%,V2,835,0,423,835,664,664,835,495,608,37,741,608,724,423,664,664,835,535,649,774,44,793,3,3,4,0.77,0.35,92.02,92.51,89.75,87.39,92.17,43.895,20.754,89.44,89.17,90.75,-5.039,-2.383,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s2,F5,F,A0221,s2,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,1,2,1,(*),% (*) L*H %,%,%,V1,874,0,0,416,322,0.5,322,36,176,36,761,218,130,0,322,0,322,38,227,136,38,786,1,1,1,0.68,0.40,91.90,92.17,91.90,91.11,91.33,-2.615,-1.236,91.22,91.20,90.52,-2.775,-1.312,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s2,F5,F,A0221,s2,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,2,2,2,L*H,% (*) L*H %,%,%,V2,874,0,416,874,682,682,874,487,615,36,761,638,749,416,682,682,874,528,665,773,38,786,3,3,4,0.83,0.35,91.90,92.17,90.51,88.20,92.37,46.614,22.039,90.09,90.00,90.52,-2.775,-1.312,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s3,F5,F,A0221,s3,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,1,2,1,(*),%H (*) L*H %,%H,%,V1,820,0,0,372,284,0.008,284,28,126,29,704,133,173,0,284,0,284,33,157,205,34,789,1,1,1,0.47,0.61,92.46,94.22,92.46,91.55,91.46,-2.242,-1.06,91.51,91.51,90.78,-2.563,-1.212,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s3,F5,F,A0221,s3,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,2,2,2,L*H,%H (*) L*H %,%H,%,V2,820,0,372,820,617,617,820,429,544,29,704,567,686,372,617,617,820,519,656,772,34,789,3,3,4,0.80,0.34,92.46,94.22,90.52,87.31,93.94,63.382,29.968,90.23,90.05,90.78,-2.563,-1.212,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s4,F5,F,A0221,s4,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,1,2,1,L*H,%H L*H L*H %,%H,%,V1,831,0,0,397,282,-0.0008,282,25,142,26,723,216,311,0,282,282,397,30,257,368,31,783,1,1,2,0.77,0.25,92.41,94.31,92.41,90.48,92.25,20.879,9.872,91.43,91.44,90.96,-2.466,-1.166,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s4,F5,F,A0221,s4,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,2,2,2,L*H,%H L*H L*H %,%H,%,V2,831,0,397,831,651,651,831,441,585,26,723,575,722,397,651,651,831,505,633,782,31,783,3,3,4,0.70,0.39,92.41,94.31,92.05,87.80,94.31,51.296,24.253,90.23,89.69,90.96,-2.466,-1.166,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s5,F5,F,A0221,s5,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,1,2,1,!H*,%H !H* L*H %,%H,%,V1,817,0,0,386,287,0.2,287,48,151,48,719,150,173,0,287,0,287,56,176,203,56,789,1,1,1,0.52,0.60,92.26,92.69,92.26,90.71,90.74,1.868,0.883,90.73,90.73,89.96,-3.802,-1.798,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s5,F5,F,A0221,s5,VAL'S is VALid,022,A0221_022,NA,is,0,1,4,0,2,2,2,2,L*H,%H !H* L*H %,%H,%,V2,817,0,386,817,645,645,817,456,585,48,719,564,717,386,645,645,817,528,629,787,56,789,3,3,4,0.69,0.42,92.26,92.69,89.93,87.09,92.69,46.884,22.167,89.25,88.69,89.96,-3.802,-1.798,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
