intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,286.07,153.009481254066,419.1279295676492,23.93,11.96,1.59,0.015,0.016,p<.05
acc_phon>H*,223.7,129.10370865922928,318.30621689504494,26.99,8.29,2.57,0.006,0.007,p<.01
acc_phonH*,208.79,101.73873809755234,315.8453397926495,25.51,8.18,2.05,0.013,0.015,p<.05
wrd_end_syl1,286.07,153.009481254066,419.1279295676492,23.93,11.96,1.59,0.015,0.016,p<.05
wrd_end_syl2,271.87,136.0106703432543,407.7375584195953,23.81,11.42,1.56,0.017,0.018,p<.05
wrd_end_syl3,305.85,190.13949027241657,421.55193770959977,24.86,12.31,1.85,0.009,0.01,p<.05
