term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,69338.959,23112.986,3,10.14,19.154,1.7e-04,9.0e-04,p<.001
acc_phon,64569.089,32284.544,2,111.384,26.754,3.2e-10,4.3e-09,p<.001
gender,55743.455,55743.455,1,11.815,46.195,2.1e-05,1.7e-04,p<.001
