intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,22.55,14.787282075715098,30.311764929079416,3.44,6.56,9.14,9.7e-05,1.6e-04,p<.001
ana_syls1,24.48,18.59822876727287,30.352148410422515,2.59,9.45,8.82,6.6e-06,1.3e-05,p<.001
ana_syls2,26.98,24.02810725357742,29.9351677819544,1.32,20.46,9.63,2.9e-09,1.0e-08,p<.001
ana_syls3,24.82,20.508397289900778,29.127842352005533,1.9,13.04,8.96,4.0e-07,8.8e-07,p<.001
