term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,12.384,4.128,3,7.846,7.978,0.009,0.021,p<.05
acc_phon,3.051,3.051,1,1.546,5.896,0.172,0.286,
gender,2.682,2.682,1,11.846,5.184,0.042,0.093,
