maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.121	174.4	0.121	171.0	%0	0	9.29
0.153	172.0	0.140	171.0	_L	17.42	6.84
0.325	206.4	0.353	211.8	H*	-11.73	17.13
0.550	177.6	0.613	177.5	L_	3.59	7.73
0.753	199.9	0.757	182.9	L*	108.09	-71.38
0.925	297.3	0.904	459.0	+H	-276.09	276.07
0.989	141.1	0.983	131.1	L_	0	4.69
1.010	130.1	1.010	131.1	_0%	0	4.69
