maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.112	110.0	0.112	99.3	%L	46.67	-5.35
0.177	116.0	0.168	115.3	_0	-0.82	2.61
0.220	116.3	0.216	115.1	L*	25.34	-3.03
0.327	128.3	0.319	133.8	+H	-39.15	17.52
0.402	109.4	0.468	95.5	L_	-10.59	4.16
0.777	87.0	0.766	79.6	L*	74.27	-60.81
0.852	115.0	0.857	118.0	+H	0	2.86
0.867	118.0	0.867	118.0	0%	0	2.86
