maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.154	122.5	0.154	123.4	%0	0	3.64
0.176	123.5	0.175	123.4	_0	44.98	-4.23
0.261	150.6	0.259	153.7	H*	-17.75	12.04
0.411	131.3	0.374	136.6	L_	-9.77	9.06
0.883	104.6	0.888	102.2	L*	34.54	-30.29
0.990	128.6	1.009	130.1	H	7.96	-3.48
1.097	134.6	1.105	135.9	H	-42.45	52.20
1.183	108.9	1.183	112.2	0%	0	1.99
