maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.086	177.5	0.086	177.7	%0	0	9.96
0.150	176.4	0.151	177.7	H*	-32.74	14.91
0.268	141.0	0.280	139.3	L_	-4.86	7.10
0.322	135.9	0.311	138.1	H*	-25.39	13.48
0.450	112.7	0.449	112.7	L_	-8.51	5.90
0.761	103.8	0.744	97.5	L*	73.87	-55.40
0.911	166.9	0.877	172.2	+H	-23.71	30.21
0.954	155.0	0.954	155.0	0%	0	7.59
