maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.132	132.2	0.132	122.4	%0	-8.76	4.66
0.207	120.7	0.192	118.8	_L	34.15	-3.59
0.303	144.3	0.294	145.2	H*	-7.94	8.79
0.378	139.5	0.378	139.7	_0	-17.17	12.28
0.485	126.2	0.481	126.2	L_	-1.76	4.88
0.657	141.0	0.634	124.2	L*	82.81	-48.78
0.721	183.1	0.737	203.3	H	-39.00	41.04
0.828	166.8	0.828	165.8	0%	0	8.75
