term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,501635.128,167211.709,3,7.99,238.389,3.7e-08,3.7e-07,p<0.001
pre_syls,6419.201,2139.734,3,5.954,3.051,0.114,0.214,
fin_phon,39762.831,39762.831,1,767.59,56.689,1.4e-13,2.2e-12,p<0.001
gender,13107.759,13107.759,1,9.007,18.687,0.002,0.005,p<0.01
