term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,1485466.7,495155.567,3,6.437,622.962,2.6e-08,1.6e-07,p<0.001
pre_syls,36936.39,12312.13,3,2.947,15.49,0.026,0.053,(p<0.1)
fin_phon,691.385,691.385,1,744.331,0.87,0.351,0.519,
nuc_new_word,1504.824,1504.824,1,5.065,1.893,0.227,0.365,
gender,7053.962,7053.962,1,8.993,8.875,0.015,0.037,p<0.05
