term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,657.394,219.131,3,6.42,0.386,0.767,0.865,
pre_syls,3207.008,1069.003,3,4.919,1.885,0.251,0.376,
fin_phon,166.588,166.588,1,772.884,0.294,0.588,0.767,
nuc_new_word,1171.074,1171.074,1,4.966,2.065,0.211,0.333,
gender,28808.63,28808.63,1,8.963,50.799,5.6e-05,2.4e-04,p<0.001
