npar,AIC,BIC,logLik,deviance,Chisq,Df,Pr(>Chisq),p.adj (BH),signif.
4,220.451,233.704,-106.226,212.451,NA,NA,NA,NA,NA
7,187.011,210.204,-86.506,173.011,39.44,3,1.4e-08,NA,NA
