acc_phon,1,2,3,4
(*),2.17,-2.43,-1.62,NA
L*,10.32,3.26,NA,NA
H*,10.69,14.67,20.46,NA
>H*,16.97,16.74,15.41,16.18
L*H,20.86,18.81,18.86,22.77
