acc_phon,1,2,3,4
(*),87.01,91.39,90.15,NA
L*,88.96,89.41,NA,NA
H*,85.7,86.87,85.2,NA
>H*,88.6,90.14,84.12,90.5
L*H,89.47,90.08,89.12,90
