acc_phon,1,2,3,4
(*),-0.29,0.31,-0.41,NA
L*,-0.49,-0.58,NA,NA
H*,-0.01,0.5,0.52,NA
>H*,0.01,0.65,0.8,0.76
L*H,-0.11,-0.43,-0.33,-0.28
