acc_phon,1,2,3,4
(*),94.23,-24,-235,NA
L*,120.38,234.5,NA,NA
H*,36.04,84.06,105.02,NA
>H*,82.5,120.33,150.2,164.75
L*H,118.88,174.94,195.76,208.37
