acc_phon,1,2,3,4
(*),65.62,156.5,464,NA
L*,80.25,84.5,NA,NA
H*,73.86,32.66,25.84,NA
>H*,92.5,88.67,34.2,48
L*H,76.26,94.27,83.3,68.67
