acc_phon,1,2,3,4
(*),0.42,0.06,0.35,NA
L*,1.05,0.88,NA,NA
H*,1.29,1.35,1.93,NA
>H*,1.21,1.39,1.88,1.78
L*H,2.06,2.68,2.9,4.07
