term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,4000.018,4000.018,1,471.18,6.37,0.012,0.023,p<.05
ana_syls,4447.482,1482.494,3,12.19,2.361,0.122,0.182,
foot_syls,3979.688,1326.563,3,453.897,2.113,0.098,0.159,
wrd_end_syl,11103.113,5551.556,2,350.726,8.841,1.8e-04,4.7e-04,p<.001
pn_new_word,204.99,204.99,1,5.204,0.326,0.592,0.629,
gender,62954.106,62954.106,1,9.774,100.258,1.9e-06,1.1e-05,p<.001
