term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,8992.118,8992.118,1,171.953,15.661,1.1e-04,3.6e-04,p<.001
has_ana_syls,355.597,355.597,1,455.902,0.619,0.432,0.509,
wrd_end_syl_late,14211.129,14211.129,1,454.908,24.75,9.3e-07,6.1e-06,p<.001
gender,80162.807,80162.807,1,9.375,139.61,6.1e-07,5.0e-06,p<.001
