intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,-0.63,-1.171722906581156,-0.09469474574262016,0.26,-2.41,27.78,0.022854333995459362,NA,NA
ana_syls1,0.28,-0.3753438955407852,0.9303669925109616,0.33,0.85,63.62,0.39891016156398573,NA,NA
ana_syls2,-0.4,-1.248517985601104,0.4404826706764823,0.43,-0.94,158.22,0.34615353594382703,NA,NA
ana_syls3,-0.55,-1.3912504872823819,0.2996592260101636,0.43,-1.28,158.66,0.2041701758005329,NA,NA
foot_syls1,-0.63,-1.171722906581156,-0.09469474574262016,0.26,-2.41,27.78,0.022854333995459362,NA,NA
foot_syls2,-0.73,-1.2511928825439056,-0.20149010407624546,0.25,-2.85,24.76,0.008647193116327754,NA,NA
foot_syls3,-0.74,-1.2394234812568397,-0.23732145329976428,0.24,-3.08,19.73,0.006017856065868368,NA,NA
foot_syls4,-0.63,-1.2207564234418635,-0.03948108856008714,0.29,-2.15,42.93,0.037097858463698785,NA,NA
wrd_end_syl1,-0.63,-1.171722906581156,-0.09469474574262016,0.26,-2.41,27.78,0.022854333995459362,NA,NA
wrd_end_syl2,-0.83,-1.4835730067074417,-0.1851311276617158,0.32,-2.57,62.49,0.012613353235692421,NA,NA
wrd_end_syl3,-1.1,-1.866079969293807,-0.3421271196687389,0.38,-2.87,112.53,0.004892029906580732,NA,NA
